loaddate,uniqueid,workorder,length,width,color,description
1/18/2024,10264780,25512282,119.875,21,TW ,1000X21 25P RR PAN TW SL      
1/18/2024,10264779,25512282,119.875,21,TW ,1000X21 25P RR PAN TW SL      
1/18/2024,10264778,25512282,119.875,21,TW ,1000X21 25P RR PAN TW SL      
1/18/2024,10264777,25512282,119.875,21,TW ,1000X21 25P RR PAN TW SL      
1/18/2024,10264788,25512284,143.875,21,TW ,1200X21 25P RR PAN TW SL      
1/18/2024,10264787,25512284,143.875,21,TW ,1200X21 25P RR PAN TW SL      
1/18/2024,10264786,25512284,143.875,21,TW ,1200X21 25P RR PAN TW SL      
1/18/2024,10264785,25512284,143.875,21,TW ,1200X21 25P RR PAN TW SL      
1/18/2024,10264784,25512284,143.875,21,TW ,1200X21 25P RR PAN TW SL      
1/18/2024,10264783,25512284,143.875,21,TW ,1200X21 25P RR PAN TW SL      
1/18/2024,10264782,25512284,143.875,21,TW ,1200X21 25P RR PAN TW SL      
1/18/2024,10264789,25512203,167.875,21,TW ,1400X21 25P RR PAN TW SL      
1/18/2024,10264792,25512203,167.875,21,TW ,1400X21 25P RR PAN TW SL      
1/18/2024,10264791,25512203,167.875,21,TW ,1400X21 25P RR PAN TW SL      
1/18/2024,10264790,25512203,167.875,21,TW ,1400X21 25P RR PAN TW SL      
1/18/2024,10264794,25512213,179.875,21,TW ,1500X21 25P RR PAN TW SL      
1/18/2024,10264799,25512213,179.875,21,TW ,1500X21 25P RR PAN TW SL      
1/18/2024,10264797,25512213,179.875,21,TW ,1500X21 25P RR PAN TW SL      
1/18/2024,10264796,25512213,179.875,21,TW ,1500X21 25P RR PAN TW SL      
1/18/2024,10264793,25512213,179.875,21,TW ,1500X21 25P RR PAN TW SL      
1/18/2024,10264800,25512213,179.875,21,TW ,1500X21 25P RR PAN TW SL      
1/18/2024,10264798,25512213,179.875,21,TW ,1500X21 25P RR PAN TW SL      
1/18/2024,10264795,25512213,179.875,21,TW ,1500X21 25P RR PAN TW SL      
1/18/2024,10264833,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264832,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264831,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264830,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264829,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264828,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
1/18/2024,10264827,25512290,191.875,21,TW ,1600X21 25P RR PAN TW SL      
